ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),TEMPERATURE (F),RELATIVE HUMIDITY (%),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
5.9011,4.0073,5.0512,3.0201,4.1209,8.3706,2.881,-0.1136,-3.3195,1.66,-1.1099,3.364,21974,1.08,-84.41,-3.53,197.33,-27.55,-26.57,8,1016.65,60.2,45.1,53.361,39.081585,-77.497055,212.9,313.7467108,,0,16.129032,,16 / 22,"$GPRMC,164450,A,3904.895125,N,07729.823454,W,0.0,,150117,0.0,E,D*28::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164450,3904.895125,N,07729.823454,W,2,10,0.7,108.0,M,-42.0,M,,*7E::$GPGSV,3,3,22,27,07,277,17,32,33,258,25,08,02,313,*4D::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,70,02,091,,80,05,021,,88,21,316,*51",7,2017-01-15 15:55:00:740
9.6786,-1.6287,0.8619,9.6257,-1.6507,0.8893,0.0528,0.0221,-0.0273,0.0417,-0.0411,0.0654,0,-12.32,-42.75,34.53,140.65,9.68,-84.7,3.1,1016.67,59.7,44.2,54.766,39.081577,-77.49706,190.32,313.7467108,,0,9.677419,,16 / 22,"$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E::$GPGGA,,,,,,0,,,,,,,,*66::$GPGSV,3,3,22,27,07,277,17,32,33,258,31,08,02,313,*48::$GPVTG,,T,,M,,N,,K,N*2C::$GLGSV,3,3,22,70,02,091,,80,05,021,,88,21,316,*51",10007,2017-01-15 15:55:10:738
9.6241,-1.5263,0.9008,9.6449,-1.5359,0.8878,-0.0208,0.0096,0.013,0.0442,-0.0451,0.0642,0,-16.6,-48.59,28.74,148.49,9.01,-84.74,3.1,1016.71,59.6,44.3,54.975,39.081573,-77.49705,196.77,312.8872524,,0,9.677419,,16 / 22,"$GPRMC,164510,A,3904.894277,N,07729.822923,W,0.0,,150117,0.0,E,D*24::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164510,3904.894277,N,07729.822923,W,2,10,0.7,104.0,M,-42.0,M,,*7E::$GPGSV,3,3,22,27,07,277,16,32,33,258,27,08,02,313,*4E::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,336,29,70,02,091,,80,05,021,*59",20007,2017-01-15 15:55:20:738
9.6031,-1.5407,0.8912,9.6458,-1.5376,0.8748,-0.0426,-0.0031,0.0164,0.0399,-0.0344,0.0618,0,-16.17,-46.32,28.02,148.32,9.02,-84.82,3.1,1016.61,59.7,43.8,40.856,39.081573,-77.49705,196.77,312.8872524,,0,9.677419,,16 / 22,"$GPRMC,164521,A,3904.894276,N,07729.822950,W,0.0,,150117,0.0,E,D*23::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164521,3904.894276,N,07729.822950,W,2,10,0.7,104.0,M,-42.0,M,,*79::$GPGSV,3,3,22,27,07,277,16,32,33,258,28,08,02,313,*41::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,336,29,70,02,091,,80,05,021,*59",30008,2017-01-15 15:55:30:738
9.6271,-1.5413,0.8751,9.6468,-1.5326,0.8724,-0.0197,-0.0087,0.0027,0.0426,-0.0359,0.063,0,-15.02,-46.54,28.32,148.85,8.99,-84.83,3.1,1016.67,60.7,43.2,28.799,39.081573,-77.49705,196.77,312.8872524,,0,9.677419,,16 / 22,"$GPRMC,164531,A,3904.894270,N,07729.822922,W,0.0,,150117,0.0,E,D*21::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164531,3904.894270,N,07729.822922,W,2,10,0.7,104.0,M,-42.0,M,,*7B::$GPGSV,3,3,22,27,07,277,16,32,33,258,30,08,02,313,*48::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,336,25,70,02,091,,80,05,021,*55",40007,2017-01-15 15:55:40:738
9.6289,-1.5251,0.8619,9.6468,-1.5346,0.8685,-0.0179,0.0095,-0.0066,0.0426,-0.0353,0.0621,0,-15.09,-47.85,29.26,148.51,9,-84.86,3.1,1016.58,61.1,42.8,38.498,39.081573,-77.49705,200,312.8872524,,0,9.677419,,16 / 22,"$GPRMC,164541,A,3904.894266,N,07729.822911,W,0.0,,150117,0.0,E,D*21::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164541,3904.894266,N,07729.822911,W,2,10,0.7,104.0,M,-42.0,M,,*7B::$GPGSV,3,3,22,27,07,277,13,32,33,258,27,08,02,313,*4B::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,336,27,70,02,091,,80,05,021,*57",50007,2017-01-15 15:55:50:739
9.6283,-1.5341,0.8553,9.6454,-1.5423,0.8702,-0.0172,0.0082,-0.0149,0.0371,-0.0331,0.0639,0,-15.21,-47.2,28.26,148.85,9.05,-84.85,3.1,1016.69,62,42,29.54,39.081573,-77.49705,200,312.8872524,,0,9.677419,,16 / 22,"$GPRMC,164551,A,3904.894270,N,07729.822902,W,0.0,,150117,0.0,E,D*25::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164551,3904.894270,N,07729.822902,W,2,10,0.7,104.0,M,-42.0,M,,*7F::$GPGSV,3,3,22,27,07,277,11,32,33,258,27,08,02,313,*49::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,336,23,70,02,091,,80,05,021,*53",60008,2017-01-15 15:56:00:741
9.6085,-1.5437,0.8871,9.6443,-1.5457,0.8769,-0.0357,0.002,0.0099,0.046,-0.0402,0.063,0,-14.72,-47.12,28.26,148.84,9.07,-84.8,3.1,1016.67,62.4,41.6,23.197,39.081573,-77.49705,200,312.8872524,,0,9.677419,,16 / 22,"$GPRMC,164600,A,3904.894264,N,07729.822882,W,0.0,,150117,0.0,E,D*2E::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164600,3904.894264,N,07729.822882,W,2,10,0.7,104.0,M,-42.0,M,,*74::$GPGSV,3,3,22,27,07,277,13,32,33,258,31,08,02,313,*4C::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,336,25,70,02,091,,80,05,021,*55",70007,2017-01-15 15:56:10:739
9.6169,-1.5359,0.8589,9.6448,-1.5466,0.8691,-0.0279,0.0108,-0.0101,0.0435,-0.0396,0.0633,0,-14.68,-47.12,28.25,148.85,9.07,-84.85,3.1,1016.6,62.9,41.2,23.56,39.081573,-77.49705,200,312.8872524,,0,9.677419,,16 / 22,"$GPRMC,164610,A,3904.894258,N,07729.822870,W,0.0,,150117,0.0,E,D*2D::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164610,3904.894258,N,07729.822870,W,2,10,0.7,104.0,M,-42.0,M,,*77::$GPGSV,3,3,22,27,07,277,14,32,33,260,32,08,02,313,*43::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,336,25,70,02,091,,80,05,021,*55",80008,2017-01-15 15:56:20:738
9.6133,-1.555,0.8559,9.6451,-1.5452,0.8684,-0.0318,-0.0099,-0.0125,0.0438,-0.0417,0.0621,0,-13.22,-47.71,29.53,147.65,9.07,-84.86,3.1,1016.6,63.1,41.1,29.559,39.081573,-77.49705,200,312.8872524,,0,9.677419,,16 / 22,"$GPRMC,164620,A,3904.894257,N,07729.822863,W,0.0,,150117,0.0,E,D*23::$GPGSA,A,1,,,,,,,,,,,,,,,*1E::$GPGGA,164620,3904.894257,N,07729.822863,W,2,10,0.7,104.0,M,-42.0,M,,*79::$GPGSV,3,3,22,27,07,277,17,32,33,260,34,08,02,313,*46::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,336,24,70,02,091,,80,05,021,*54",90007,2017-01-15 15:56:30:738
9.745,-1.6747,1.0175,9.6441,-1.5427,0.8839,0.1009,-0.132,0.1337,0.0399,-0.0335,0.0651,0,-14.25,-45.52,32.49,144.9,9.04,-84.77,3.1,1016.61,63.3,41,42.177,39.081573,-77.49705,200,312.8447,,0,29.032257,,16 / 22,"$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E::$GPGGA,,,,,,0,,,,,,,,*66::$GPGSV,3,3,22,27,07,277,15,32,33,260,33,08,02,313,*43::$GPVTG,,T,,M,,N,,K,N*2C::$GLGSV,3,3,22,72,52,336,27,70,02,091,,80,05,021,*57",100008,2017-01-15 15:56:40:738
9.5894,-1.5365,0.9074,9.6429,-1.5498,0.8848,-0.0535,0.0133,0.0226,0.046,-0.0356,0.0621,0,-15.45,-47.77,27.98,149.34,9.09,-84.76,3.1,1016.79,63.5,40.9,51.011,39.081573,-77.49705,200,312.8447,,0,29.032257,,16 / 22,"$GPRMC,164640,A,3904.894260,N,07729.822832,W,0.0,,150117,0.0,E,D*25::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164640,3904.894260,N,07729.822832,W,2,10,0.7,105.0,M,-42.0,M,,*7E::$GPGSV,3,3,22,27,07,277,18,32,33,260,27,08,02,313,*4B::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,336,27,70,02,091,,80,05,021,*57",110007,2017-01-15 15:56:50:738
9.5954,-1.5365,0.9062,9.6432,-1.5423,0.8944,-0.0479,0.0058,0.0118,0.0405,-0.035,0.0609,0,-12.72,-48.39,29.72,147.62,9.05,-84.71,3.1,1016.81,63.5,41.1,52.219,39.081573,-77.49705,200,312.8447,,0,29.032257,,16 / 22,"$GPRMC,164651,A,3904.894267,N,07729.822835,W,0.0,,150117,0.0,E,D*25::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164651,3904.894267,N,07729.822835,W,2,10,0.7,105.0,M,-42.0,M,,*7E::$GPGSV,3,3,22,27,07,277,15,32,33,260,31,08,02,313,*41::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,337,26,70,01,092,,80,04,019,*5D",120008,2017-01-15 15:57:00:739
9.6115,-1.5095,0.9218,9.644,-1.5404,0.8891,-0.0325,0.0309,0.0327,0.0472,-0.038,0.0624,0,-13.04,-48.08,29.39,148.47,9.04,-84.73,3.1,1016.8,63.5,41.1,47.039,39.081573,-77.49705,200,312.8447,,0,29.032257,,16 / 22,"$GPRMC,164700,A,3904.894265,N,07729.822824,W,0.0,,150117,0.0,E,D*22::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164700,3904.894265,N,07729.822824,W,2,10,0.7,105.0,M,-42.0,M,,*79::$GPGSV,3,3,22,27,07,277,19,32,33,260,29,08,02,313,*44::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,337,28,70,01,092,,80,04,019,*53",130007,2017-01-15 15:57:10:738
9.6073,-1.4928,0.9032,9.6434,-1.5439,0.8902,-0.036,0.0511,0.013,0.0472,-0.0386,0.059,0,-13.05,-48.35,28.78,148.47,9.06,-84.72,3.1,1016.86,63.5,41,56.693,39.081573,-77.49705,200,312.8447,,0,29.032257,,16 / 22,"$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E::$GPGGA,,,,,,0,,,,,,,,*66::$GPGSV,3,3,22,27,07,277,21,32,33,260,30,08,02,313,*47::$GPVTG,,T,,M,,N,,K,N*2C::$GLGSV,3,1,22,74,40,139,21,86,08,208,22,73,37,053,28,75,03,175,24*6C",140008,2017-01-15 15:57:20:738
9.6157,-1.5616,0.917,9.6427,-1.5481,0.8903,-0.027,-0.0136,0.0267,0.0469,-0.0393,0.0621,0,-13.33,-48.38,29.09,148.47,9.08,-84.73,3.1,1016.84,63.6,40.9,49.337,39.081573,-77.49705,200,312.8447,,0,29.032257,,16 / 22,"$GPRMC,164720,A,3904.894255,N,07729.822812,W,0.0,,150117,0.0,E,D*26::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164720,3904.894255,N,07729.822812,W,2,10,0.7,105.0,M,-42.0,M,,*7D::$GPGSV,3,3,22,27,07,277,16,32,33,260,30,08,02,313,*43::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,337,29,70,01,092,,80,04,019,*52",150007,2017-01-15 15:57:30:738
9.5822,-1.4473,0.8625,9.6426,-1.5489,0.8894,-0.0604,0.1016,-0.0269,0.0384,-0.0362,0.0639,0,-13.73,-48.38,29.4,148.48,9.09,-84.73,3.1,1016.82,63.4,41.1,48.241,39.081837,-77.49731,,314.5591609,,,161.29031,,16 / 22,"$GPRMC,164730,A,3904.894249,N,07729.822806,W,0.0,,150117,0.0,E,D*2F::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164730,3904.894249,N,07729.822806,W,2,10,0.7,105.0,M,-42.0,M,,*74::$GPGSV,3,3,22,27,07,277,14,32,33,260,30,08,02,313,*41::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,337,28,70,01,092,,80,04,019,*53",160007,2017-01-15 15:57:40:739
9.5768,-1.4629,0.8565,9.6425,-1.5483,0.8924,-0.0656,0.0854,-0.0358,0.049,-0.0393,0.0593,0,-13.1,-48.33,28.72,148.47,9.08,-84.71,3.1,1016.9,63.4,41.2,48.308,39.081837,-77.49731,,314.5591609,,,161.29031,,16 / 22,"$GPRMC,164741,A,3904.894248,N,07729.822808,W,0.0,,150117,0.0,E,D*26::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164741,3904.894248,N,07729.822808,W,2,10,0.7,105.0,M,-42.0,M,,*7D::$GPGSV,3,3,22,27,07,277,12,32,33,260,28,08,02,313,*4E::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,337,29,70,01,092,,80,04,019,*52",170008,2017-01-15 15:57:50:738
9.6756,-1.5862,0.9266,9.6419,-1.5526,0.8905,0.0336,-0.0336,0.0361,0.0451,-0.038,0.0685,0,-13.13,-48.64,28.53,148.98,9.11,-84.72,3.1,1016.81,63.5,41.4,50.667,39.081783,-77.49718,,314.5591609,,,118.448395,,16 / 22,"$GPRMC,164751,A,3904.894251,N,07729.822810,W,0.0,,150117,0.0,E,D*26::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164751,3904.894251,N,07729.822810,W,2,10,0.7,105.0,M,-42.0,M,,*7D::$GPGSV,3,3,22,27,07,275,12,32,34,260,29,08,02,313,*4A::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,337,28,70,01,092,,80,04,019,*53",180007,2017-01-15 15:58:00:738
9.5834,-1.4766,0.8595,9.6429,-1.5468,0.8903,-0.0595,0.0702,-0.0308,0.0463,-0.0325,0.0624,0,-13.2,-48.59,28.22,149.83,9.08,-84.72,3.1,1016.81,63.5,41.1,48.092,39.081783,-77.49718,,314.5591609,,,118.448395,,16 / 22,"$GPRMC,164801,A,3904.894258,N,07729.822804,W,0.0,,150117,0.0,E,D*20::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164801,3904.894258,N,07729.822804,W,2,10,0.7,105.0,M,-42.0,M,,*7B::$GPGSV,3,3,22,27,07,275,20,32,34,260,29,08,02,313,*4B::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,337,28,70,01,092,,80,04,019,*53",190010,2017-01-15 15:58:10:739
9.6828,-1.5868,0.9044,9.6434,-1.5457,0.8868,0.0394,-0.0411,0.0176,0.0503,-0.035,0.0581,0,-12.77,-48.56,29.53,148.15,9.07,-84.75,3.1,1016.84,63.5,41.4,48.453,39.081837,-77.49731,,314.5591609,,,161.29031,,16 / 22,"$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E::$GPGGA,164810,3904.894256,N,07729.822785,W,2,10,0.7,105.0,M,-42.0,M,,*73::$GPGSV,3,3,22,27,07,275,21,32,34,260,30,08,02,313,*42::$GPVTG,,T,,M,,N,,K,N*2C::$GLGSV,3,3,22,72,52,337,27,70,01,092,,80,04,019,*5C",200007,2017-01-15 15:58:20:738
9.5828,-1.5107,0.8751,9.6425,-1.5484,0.8913,-0.043,-0.0241,0.01,0.0469,-0.0371,0.0596,0,-12.88,-48.88,29.23,148.98,9.08,-84.72,3.1,1016.79,63.6,41.6,47.462,39.081573,-77.49705,203.23,314.5591609,,0,29.032257,,16 / 22,"$GPRMC,164821,A,3904.894257,N,07729.822771,W,0.0,,150117,0.0,E,D*20::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164821,3904.894257,N,07729.822771,W,2,10,0.7,105.0,M,-42.0,M,,*7B::$GPGSV,3,3,22,27,07,275,18,32,34,260,28,08,02,313,*41::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,337,26,70,01,092,,80,04,019,*5D",210007,2017-01-15 15:58:30:739
9.6331,-1.5682,0.8984,9.6422,-1.5512,0.8903,-0.0091,-0.017,0.0081,0.0423,-0.0414,0.0612,0,-13.18,-48.57,29.22,148.98,9.1,-84.72,3.1,1016.86,63.3,42.1,47.241,39.081573,-77.49705,203.23,314.5591609,,0,29.032257,,16 / 22,"$GPRMC,164831,A,3904.894265,N,07729.822777,W,0.0,,150117,0.0,E,D*26::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.8*35::$GPGGA,164831,3904.894265,N,07729.822777,W,2,10,0.7,105.0,M,-42.0,M,,*7D::$GPGSV,3,3,22,32,34,260,30,08,02,313,,12,05,122,*44::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,337,26,70,01,092,,80,04,019,*5D",220008,2017-01-15 15:58:40:739
9.5906,-1.5245,0.89,9.6428,-1.5506,0.8844,-0.0522,0.0261,0.0057,0.0448,-0.0405,0.0618,0,-13.25,-48.17,29.1,148.48,9.1,-84.76,3.1,1016.88,63.6,42.1,47.633,39.081573,-77.49705,203.23,314.5591609,,0,29.032257,,16 / 22,"$GPRMC,164840,A,3904.894276,N,07729.822773,W,0.0,,150117,0.0,E,D*26::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164840,3904.894276,N,07729.822773,W,2,10,0.7,105.0,M,-42.0,M,,*7D::$GPGSV,3,3,22,27,07,275,18,32,34,260,29,08,02,313,*40::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,337,27,70,01,092,,80,04,019,*5C",230007,2017-01-15 15:58:50:738
9.6007,-1.5221,0.8691,9.642,-1.5542,0.8869,-0.0359,0.0015,0.0259,0.0423,-0.0304,0.0648,0,-14.49,-47.84,27.57,149.34,9.12,-84.74,3.1,1016.87,63.4,42.3,48.628,39.081573,-77.49705,203.23,314.5591609,,0,29.032257,,16 / 22,"$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E::$GPGGA,,,,,,0,,,,,,,,*66::$GPGSV,3,3,22,27,07,275,17,32,34,260,27,08,02,310,*42::$GPVTG,,T,,M,,N,,K,N*2C::$GLGSV,3,1,22,74,41,137,22,86,07,208,25,73,37,053,28,75,04,175,23*68",240007,2017-01-15 15:59:00:739
9.5648,-1.4832,0.8859,9.643,-1.5491,0.8848,-0.0782,0.0659,0.001,0.0484,-0.0393,0.0633,0,-14.54,-47.48,27.58,148.83,9.09,-84.76,3.1,1016.84,63.4,42.5,48.112,39.081573,-77.49705,203.23,314.5591609,,0,29.032257,,16 / 22,"$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E::$GPGGA,,,,,,0,,,,,,,,*66::$GPGSV,3,2,22,18,79,018,30,20,21,115,19,21,45,195,34,24,56,075,22*76::$GPVTG,,T,,M,,N,,K,N*2C::$GLGSV,3,3,22,70,00,000,,80,03,019,,88,22,314,*57",250007,2017-01-15 15:59:10:738
9.6037,-1.5479,0.8877,9.6431,-1.5463,0.8889,0.0121,-0.0381,0.0077,0.0466,-0.0356,0.0618,0,-14.16,-47.78,27.59,149.34,9.07,-84.74,3.1,1016.8,63.4,42.5,50.27,39.081573,-77.49705,203.23,314.5591609,,0,29.032257,,16 / 22,"$GPRMC,164910,A,3904.894286,N,07729.822761,W,0.0,,150117,0.0,E,D*2E::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.1,0.8,0.7*34::$GPGGA,164910,3904.894286,N,07729.822761,W,2,10,0.8,105.0,M,-42.0,M,,*7A::$GPGSV,3,3,22,27,07,275,15,32,34,260,30,08,02,310,*46::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,70,00,000,,80,03,019,,88,22,314,*57",260009,2017-01-15 15:59:20:738
9.6061,-1.573,0.8781,9.6434,-1.5476,0.8835,-0.0372,-0.0254,-0.0054,0.046,-0.0359,0.0621,0,-14.39,-47.82,27.6,149.34,9.08,-84.77,3.1,1016.82,63.4,42.7,47.522,39.081573,-77.49705,203.23,314.5591609,,0,29.032257,,16 / 22,"$GPRMC,164920,A,3904.894289,N,07729.822756,W,0.0,,150117,0.0,E,D*26::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.1,0.9,0.7*35::$GPGGA,164920,3904.894289,N,07729.822756,W,2,10,0.9,105.0,M,-42.0,M,,*73::$GPGSV,3,3,22,27,07,275,18,32,34,260,31,08,02,310,*4A::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,70,00,000,,80,03,019,,88,22,314,*57",270008,2017-01-15 15:59:30:738
9.6271,-1.5796,0.9092,9.6429,-1.5459,0.8915,-0.0158,-0.0337,0.0177,0.0423,-0.035,0.0648,0,-14.73,-47.83,27.3,150.2,9.06,-84.72,3.1,1016.81,63.4,42.9,51.988,39.081573,-77.49705,203.23,314.5591609,,0,29.032257,,16 / 22,"$GPRMC,164931,A,3904.894286,N,07729.822743,W,0.0,,150117,0.0,E,D*2D::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164931,3904.894286,N,07729.822743,W,2,10,0.7,105.0,M,-42.0,M,,*76::$GPGSV,3,3,22,27,06,275,20,32,34,261,31,08,02,310,*41::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,70,00,000,,80,03,019,,88,22,314,*57",280008,2017-01-15 15:59:40:739
9.4499,-2.2194,1.1049,9.5847,-1.746,1.1201,-0.1348,-0.4734,-0.0152,0.101,-0.0542,0.0697,0,-15.08,-40.77,35.12,139.18,10.16,-83.33,3.1,1016.86,63.7,42.8,53.963,39.08155,-77.49703,212.9,312.8180421,,1.8,29.032257,327.9,16 / 22,"$GPRMC,164940,A,3904.893044,N,07729.821967,W,1.0,327.9,150117,0.0,E,D*0B::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164940,3904.893044,N,07729.821967,W,2,10,0.7,108.0,M,-42.0,M,,*7D::$GPGSV,3,3,22,27,06,275,16,32,34,261,24,08,02,310,*40::$GPVTG,327.9,T,327.9,M,1.0,N,1.8,K,D*2E::$GLGSV,3,3,22,72,52,338,25,70,00,000,,80,03,019,*5C",290011,2017-01-15 15:59:50:738
9.5966,-1.4635,0.914,9.6669,-1.3499,0.9482,-0.0703,-0.1136,-0.0342,0.0506,-0.0408,0.0624,0,-15.84,-45.79,30.03,146.43,7.9,-84.4,3.1,1016.65,63.7,42.9,51.99,39.08157,-77.49708,206.45,312.8180421,,0,29.032257,,16 / 22,"$GPRMC,164951,A,3904.894112,N,07729.824655,W,0.0,,150117,0.0,E,D*25::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164951,3904.894112,N,07729.824655,W,2,10,0.7,106.0,M,-42.0,M,,*7D::$GPGSV,3,3,22,32,34,261,30,08,02,310,,20,21,115,*45::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,338,27,70,00,000,,80,03,019,*5E",300007,2017-01-15 16:00:00:738
9.6211,-1.5413,0.908,9.6389,-1.5556,0.9175,-0.0178,0.0143,-0.0095,0.05,-0.0371,0.0621,0,-18.45,-45.73,32.23,144.91,9.13,-84.56,3.1,1016.65,64.1,42.7,52.27,39.08157,-77.49706,212.9,312.8995927,,0,29.032257,,16 / 22,"$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E::$GPGGA,,,,,,0,,,,,,,,*66::$GPGSV,3,1,22,10,51,314,29,12,06,120,16,14,12,250,24,15,24,061,26*74::$GPVTG,,T,,M,,N,,K,N*2C::$GLGSV,3,3,22,72,52,338,20,70,00,000,,80,03,019,*59",310007,2017-01-15 16:00:10:738
9.575,-1.5006,0.9146,9.6391,-1.5503,0.9247,-0.0641,0.0498,-0.0101,0.0472,-0.0393,0.0642,0,-17.77,-45.44,32.25,144.34,9.1,-84.52,3.1,1016.6,64.3,42.8,49.925,39.081566,-77.49706,216.13,312.8995927,,0,29.032257,,16 / 22,"$GPRMC,165010,A,3904.893918,N,07729.823855,W,0.0,,150117,0.0,E,D*24::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,165010,3904.893918,N,07729.823855,W,2,10,0.7,109.0,M,-42.0,M,,*73::$GPGSV,3,1,22,10,51,314,31,12,06,120,22,14,12,250,22,15,24,061,27*7D::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,2,22,65,16,295,18,88,22,314,19,87,30,260,15,71,40,063,24*64",320007,2017-01-15 16:00:20:739
